,p0_growth,log_inc_t_1,gini_t_1,life_exp,pop_growth_pwt,priv_credit,inflation,budget,trade_openness,fin_openness,homic,conflict,civ_lib,agriculture,prim_school,sec_school,infrastructure
504,-4.286e-05,6.5569,0.43725,72.9232,0.023084,1.3536,0.038936,-0.028285,1.05505,0.45825649999999996,0.023812,0.0,9.375,-0.02574093,0.9700639999999999,0.664666,1.07209
505,0.0005,6.64975,0.4252,73.6529,0.018404,1.05926,0.047533,-0.0282375,1.04256,0.41280500000000003,0.02225,0.0,8.0,0.02478249,1.00699,0.6874180000000001,1.4801
506,-0.0012,6.7610600000000005,0.421041,73.9276,0.017403000000000002,1.03312,0.030954000000000002,-0.03911,0.910652,0.50753333,0.022000000000000002,0.0,8.0,-0.03999253,1.00248,0.65979,1.60633
507,-0.0039,6.44289,0.392531,74.8828,0.018198,0.448238,0.04994,-0.04,0.63103,0.91334625,0.015425,0.0,9.125,-0.04652323,1.11951,0.697705,0.9250360000000001
508,-0.03851429,3.9207,0.408953,48.2426,0.030333999999999996,0.12044500000000001,0.05600700000000001,-0.03,-0.397949,0.22680799999999998,0.102,0.125,5.25,-0.0121196,0.490435,0.133002,-2.53143
509,-0.01466,4.1275900000000005,0.391027,51.3532,0.033998,0.13136199999999998,0.021730000000000003,-0.03,-0.342097,0.16480899999999998,0.102,0.0,4.33333,-0.01685153,0.690288,0.22198800000000002,-1.6603299999999999
510,-0.00335,4.21174,0.38155500000000003,54.9034,0.034888,0.135069,0.050773,-0.03,-0.338591,0.16480899999999998,0.102,0.6,5.0,0.02302437,0.80095,0.331201,-1.1046
511,0.00185,4.65771,0.40710100000000005,58.3246,0.030095999999999998,0.292308,0.11169200000000001,-0.04571429,0.264502,0.11772071,0.114,0.0,13.0,0.02702427,0.5131899999999999,0.140977,-0.047577
512,-0.06846667,4.63503,0.401519,59.2775,0.030512,0.274306,0.050539,0.0025,0.19557,0.22680799999999998,0.114,0.0,12.5,-0.01584234,0.6872020000000001,0.150646,0.152629
513,-0.00245,4.66822,0.39589,59.8052,0.031994999999999996,0.26354099999999997,0.097368,0.02,0.106722,0.21440820000000002,0.114,0.0,11.0,0.003018,0.798787,0.166792,0.357352
